id;name;number;URL;socket;price;Product Collection;Code Name;Vertical Segment;Processor Number;Status;Launch Date;Lithography;Expected Discontinuance;Use Conditions;Included Items;Warranty Period;# of Cores;# of Threads;Processor Base Frequency;Cache;Bus Speed;TDP;Configurable TDP-down Frequency;Configurable TDP-down;VID Voltage Range;# of QPI Links;Max Turbo Frequency;Burst Frequency;Scenario Design Power (SDP);# of UPI Links;Turbo Boost Technology 2.0 Frequency;Turbo Boost Max Technology 3.0 Frequency;FSB Parity;Configurable TDP-up Frequency;Configurable TDP-up;Supported FSBs;Thermal Velocity Boost Frequency;Embedded Options Available;Datasheet;Description;Product Brief;Max Memory Size (dependent on memory type);Memory Types;Max # of Memory Channels;Max Memory Bandwidth;ECC Memory Supported;Physical Address Extensions;Maximum Memory Speed;Optane DC Persistent Memory Supported;Processor Graphics;Graphics Base Frequency;Graphics Max Dynamic Frequency;Graphics Output;DirectX* Support;Quick Sync Video;InTru 3D Technology;Flexible Display Interface ( FDI);Clear Video HD Technology;Clear Video Technology;# of Displays Supported;Macrovision* License Required;Graphics Video Max Memory;Max Resolution (HDMI);Max Resolution (DP);Max Resolution (eDP - Integrated Flat Panel);Max Resolution (VGA);OpenGL* Support;4K Support;Device ID;Graphics Burst Frequency;Execution Units;Max Refresh Rate;eDRAM;OpenCL* Support;PCI Express Revision;PCI Express Configurations;Max # of PCI Express Lanes;Scalability;PCI Support;Thunderbolt 4;Microprocessor PCIe Revision;Chipset / PCH PCIe Revision;Sockets Supported;Max CPU Configuration;TJUNCTION;Package Size;Processing Die Size;# of Processing Die Transistors;TCASE;Thermal Solution Specification;Operating Temperature Range;Operating Temperature (Maximum);Operating Temperature (Minimum);Bracket Height;Thermal Velocity Boost Temperature;Turbo Boost Technology;vPro Platform Eligibility;Hyper-Threading Technology;Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);Transactional Synchronization Extensions;64;Instruction Set;Instruction Set Extensions;Idle States;Enhanced SpeedStep Technology;Thermal Monitoring Technologies;Fast Memory Access;Flex Memory Access;Identity Protection Technology;Stable Image Platform Program (SIPP);Smart Response Technology;My WiFi Technology;4G WiMAX Wireless Technology;Demand Based Switching;Optane Memory Supported;Virtualization Technology for Itanium (VT-i);Thermal Velocity Boost;Turbo Boost Max Technology 3.0;Rapid Storage Technology;Secure Boot;HD Audio Technology;Smart Connect Technology;Speed Shift Technology;Smart Idle Technology;ME Firmware Version;Matrix Storage Technology;Deep Learning Boost ( DL Boost);Speed Select Technology - Performance Profile;Speed Select Technology - Base Frequency;Resource Director Technology ( RDT);# of AVX-512 FMA Units;Volume Management Device (VMD);Speed Select Technology – Core Power;Speed Select Technology – Turbo Frequency;Integrated QuickAssist Technology;Quick Resume Technology;Quiet System Technology;AC97 Technology;I/O Acceleration Technology;Instruction Replay Technology;Integrated Omni-Path Architecture ( OPA);Adaptix Technology;Gaussian and Neural Accelerator 2.0;Image Processing Unit;Smart Sound Technology;Wake on Voice;High Definition Audio;MIPI SoundWire*;AES New Instructions;Secure Key;Trusted Execution Technology;Execute Disable Bit;OS Guard;Anti-Theft Technology;Software Guard Extensions ( SGX);Memory Protection Extensions ( MPX);Boot Guard;Run Sure Technology;Mode-based Execute Control (MBE);Control-Flow Enforcement Technology;Total Memory Encryption;# of Cores;# of Threads;Processor Base Frequency;Cache;Bus Speed;FSB Parity;TDP;VID Voltage Range;Scenario Design Power (SDP);Max Turbo Frequency;# of USB Ports;USB Revision;Total # of SATA Ports;Integrated LAN;General Purpose IO;UART;Max # of SATA 6.0 Gb/s Ports;Integrated Wireless;Integrated IDE;USB Configuration;4K Support;Graphics Base Frequency;Graphics Name;Graphics Max Dynamic Frequency;Compute Units;Graphics Memory Bandwidth;Graphics Memory Interface;Graphics Output;Max Resolution (HDMI);Max Resolution (DP);Max Resolution (eDP - Integrated Flat Panel);DirectX* Support;Vulkan* Support;OpenGL* Support;H.264 Hardware Encode/Decode;H.265 (HEVC) Hardware Encode/Decode;# of Displays Supported;Baseband Functions;RF Transceiver;RF Transceiver Functions;Protocol Stack;Interfaces Supported
52952;Core i5-480M Processor;i5-480M;https://ark.intel.com/content/www/us/en/ark/products/52952/intel-core-i5-480m-processor-3m-cache-2-66-ghz.html;BGA1288;;;;Mobile;i5-480M;Discontinued;2011-01-01;32;;;;;2;4;2660000000;3 MB Smart Cache;2.5;35;;;;;2930000000;;;;;;;;;;;False;;;;8589934592;DDR3 800/1066;2;17.1 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;500000000;766000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;rPGA 37.5mmx 37.5mm, BGA 34mmx28mm;81 mm;382 million;;;;;;;;1;False;True;True;False;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;False;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47936;Core i5-520E Processor;i5-520E;https://ark.intel.com/content/www/us/en/ark/products/47936/intel-core-i5-520e-processor-3m-cache-2-40-ghz.html;BGA1288;;;;Embedded;i5-520E;Discontinued;2010-01-01;32;;Embedded Broad Market Commercial Temp, PC/Client/Tablet;;;2;4;2400000000;3 MB Smart Cache;2.5;35;;;;;2930000000;;;;;;;;;;;True;;;;9438190632.96;DDR3 800/1066;2;17.1 GB/s;True;36-bit;;;;500000000;766000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1X16, 2X8;1;;;;;;;1;105;BGA 34mmX28mm;81 mm;382 million;;;;;;;;1;False;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47341;Core i5-520M Processor;i5-520M;https://ark.intel.com/content/www/us/en/ark/products/47341/intel-core-i5-520m-processor-3m-cache-2-40-ghz.html;BGA1288;227;;;Mobile;i5-520M;Discontinued;2010-01-01;32;;PC/Client/Tablet;;;2;4;2400000000;3 MB Smart Cache;2.5;35;;;;;2930000000;;;;;;;;;;;True;;;;8912057139.2;DDR3 800/1066;2;17.1 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;500000000;766000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;rPGA 37.5mmx 37.5mm, BGA 34mmx28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47554;Core i5-520UM Processor;i5-520UM;https://ark.intel.com/content/www/us/en/ark/products/47554/intel-core-i5-520um-processor-3m-cache-1-06-ghz.html;BGA1288;;;;Mobile;i5-520UM;Discontinued;2010-01-01;32;;;;;2;4;1070000000.0000001;3 MB Smart Cache;2.5;18;;;;;1870000000;;;;;;;;;;;False;;;;8589934592;DDR3 800;2;12.8 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;166000000;500000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;BGA 34mm x 28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43544;Core i5-540M Processor;i5-540M;https://ark.intel.com/content/www/us/en/ark/products/43544/intel-core-i5-540m-processor-3m-cache-2-53-ghz.html;BGA1288;269;;;Mobile;i5-540M;Discontinued;2010-01-01;32;;;;;2;4;2530000000;3 MB Smart Cache;2.5;35;;;;;3070000000;;;;;;;;;;;False;;;;8589934592;DDR3 800/1066;2;17.1 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;500000000;766000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;rPGA 37.5mmx 37.5mm, BGA 34mmx28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49159;Core i5-540UM Processor;i5-540UM;https://ark.intel.com/content/www/us/en/ark/products/49159/intel-core-i5-540um-processor-3m-cache-1-20-ghz.html;BGA1288;;;;Mobile;i5-540UM;Discontinued;2010-04-01;32;;;;;2;4;1200000000;3 MB Smart Cache;2.5;18;;;;;2000000000;;;;;;;;;;;False;;;;8589934592;DDR3 800;2;12.8 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;166000000;500000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;BGA 34mm x 28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49653;Core i5-560M Processor;i5-560M;https://ark.intel.com/content/www/us/en/ark/products/49653/intel-core-i5-560m-processor-3m-cache-2-66-ghz.html;BGA1288;;;;Mobile;i5-560M;Discontinued;2010-07-01;32;;;;;2;4;2660000000;3 MB Smart Cache;2.5;35;;;;;3200000000;;;;;;;;;;;False;;;;8589934592;DDR3 800/1066;2;17.1 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;500000000;766000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;rPGA 37.5mmx 37.5mm, BGA 34mmx28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49665;Core i5-560UM Processor;i5-560UM;https://ark.intel.com/content/www/us/en/ark/products/49665/intel-core-i5-560um-processor-3m-cache-1-33-ghz.html;BGA1288;;;;Mobile;i5-560UM;Discontinued;2010-07-01;32;;;;;2;4;1330000000;3 MB Smart Cache;2.5;18;;;;;2130000000;;;;;;;;;;;False;;;;8589934592;DDR3 800;2;12.8 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;166000000;500000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;BGA 34mm x 28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49652;Core i5-580M Processor;i5-580M;https://ark.intel.com/content/www/us/en/ark/products/49652/intel-core-i5-580m-processor-3m-cache-2-66-ghz.html;BGA1288;;;;Mobile;i5-580M;Discontinued;2010-07-01;32;;;;;2;4;2660000000;3 MB Smart Cache;2.5;35;;;;;3330000000;;;;;;;;;;;False;;;;8589934592;DDR3 800/1066;2;17.1 GB/s;False;36-bit;;;HD Graphics for Previous Generation Processors;500000000;766000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16;16;;;;;;;1;105;rPGA 37.5mmx 37.5mm, BGA 34mmx28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48139;Core i7-610E Processor;i7-610E;https://ark.intel.com/content/www/us/en/ark/products/48139/intel-core-i7-610e-processor-4m-cache-2-53-ghz.html;BGA1288;;;;Mobile;i7-610E;Discontinued;2010-01-01;32;;Embedded Broad Market Commercial Temp, PC/Client/Tablet;;;2;4;2530000000;4 MB Smart Cache;2.5;35;;;;;3200000000;;;;;;;;;;;True;;;;9438190632.96;DDR3 800/1066;2;17.1 GB/s;True;36-bit;;;HD Graphics for Previous Generation Processors;500000000;766000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1x16, 2x8;16;;;;;;;1;105;BGA 34mm x 28mm;81 mm;382 million;;;;;;;;1;False;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47934;Core i7-620LE Processor;i7-620LE;https://ark.intel.com/content/www/us/en/ark/products/47934/intel-core-i7-620le-processor-4m-cache-2-00-ghz.html;BGA1288;;;;Embedded;i7-620LE;Discontinued;2010-01-01;32;;Embedded Broad Market Commercial Temp, PC/Client/Tablet;;;2;4;2000000000;4 MB Smart Cache;2.5;25;;;;;2800000000;;;;;;;;;;;True;;;;9438190632.96;DDR3 800/1066;2;17.1 GB/s;True;36-bit;;;;266000000;566000000;;;;;True;True;True;2;False;;;;;;;;;;;;;;2;1X16, 2X8;1;;;;;;;1;105;BGA 34mmX28mm;81 mm;382 million;;;;;;;;1;True;True;True;True;True;;True;64-bit;SSE4.1, SSE4.2;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
